dataset,method,backbone,split,seed,tag,method_label,test_acc,best_epoch,checkpoint
office_home,erm,resnet50,Art,0,,erm,63.20560362587556,12,outputs/paper30_r50/office_home_Art_erm_resnet50_seed0_best.pth
office_home,erm,resnet50,Art,1,,erm,63.28800988875154,17,outputs/paper30_r50/office_home_Art_erm_resnet50_seed1_best.pth
office_home,erm,resnet50,Art,2,,erm,63.78244746600742,17,outputs/paper30_r50/office_home_Art_erm_resnet50_seed2_best.pth
office_home,rsc,resnet50,Art,0,,rsc,62.711166048619695,19,outputs/paper30_r50/office_home_Art_rsc_resnet50_seed0_best.pth
office_home,rsc,resnet50,Art,1,,rsc,62.50515039142975,12,outputs/paper30_r50/office_home_Art_rsc_resnet50_seed1_best.pth
office_home,rsc,resnet50,Art,2,,rsc,62.711166048619695,17,outputs/paper30_r50/office_home_Art_rsc_resnet50_seed2_best.pth
office_home,erm,resnet50,Clipart,0,,erm,50.97365406643757,27,outputs/paper30_r50/office_home_Clipart_erm_resnet50_seed0_best.pth
office_home,erm,resnet50,Clipart,1,,erm,50.56128293241695,21,outputs/paper30_r50/office_home_Clipart_erm_resnet50_seed1_best.pth
office_home,erm,resnet50,Clipart,2,,erm,52.43986254295533,28,outputs/paper30_r50/office_home_Clipart_erm_resnet50_seed2_best.pth
office_home,rsc,resnet50,Clipart,0,,rsc,52.187857961053844,24,outputs/paper30_r50/office_home_Clipart_rsc_resnet50_seed0_best.pth
office_home,rsc,resnet50,Clipart,1,,rsc,49.64490263459336,26,outputs/paper30_r50/office_home_Clipart_rsc_resnet50_seed1_best.pth
office_home,rsc,resnet50,Clipart,2,,rsc,52.82932416953036,28,outputs/paper30_r50/office_home_Clipart_rsc_resnet50_seed2_best.pth
office_home,erm,resnet50,Product,0,,erm,75.85041676053164,9,outputs/paper30_r50/office_home_Product_erm_resnet50_seed0_best.pth
office_home,erm,resnet50,Product,1,,erm,76.59382743861231,15,outputs/paper30_r50/office_home_Product_erm_resnet50_seed1_best.pth
office_home,erm,resnet50,Product,2,,erm,76.90921378688894,12,outputs/paper30_r50/office_home_Product_erm_resnet50_seed2_best.pth
office_home,rsc,resnet50,Product,0,,rsc,73.77787790042802,26,outputs/paper30_r50/office_home_Product_rsc_resnet50_seed0_best.pth
office_home,rsc,resnet50,Product,1,,rsc,76.39107907186303,29,outputs/paper30_r50/office_home_Product_rsc_resnet50_seed1_best.pth
office_home,rsc,resnet50,Product,2,,rsc,75.15206127506195,27,outputs/paper30_r50/office_home_Product_rsc_resnet50_seed2_best.pth
